trial,image,tracking data
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.73270"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.74925"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.76570"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.78229"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.79846"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.81489"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.83130"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.84780"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.86422"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.88066"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.89705"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.91351"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.92991"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.94638"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.96287"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.97925"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""14.99562"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""15.01188"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""15.02846"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""15.04495"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""15.06127"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""15.07784"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""15.09424"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""15.11067"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""15.12713"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""15.14355"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""15.15989"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""15.17633"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""15.19280"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""15.20936"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""15.22607"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""15.24213"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""15.25853"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""15.27492"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""15.29134"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""15.30783"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""15.32421"" FPOGX=""0.00000"" FPOGY=""0.00000"" FPOGS=""138.84195"" FPOGD=""0.08223"" FPOGID=""12"" FPOGV=""0"" BPOGX=""0.00000"" BPOGY=""0.00000"" BPOGV=""0"" />
"
