subject,trial,image,tracking data
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.05849"" FPOGX=""0.51826"" FPOGY=""0.63673"" FPOGS=""11.61515"" FPOGD=""0.44335"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.52534"" BPOGY=""0.59752"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.07492"" FPOGX=""0.51788"" FPOGY=""0.63739"" FPOGS=""11.61515"" FPOGD=""0.45977"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.50729"" BPOGY=""0.65575"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.09142"" FPOGX=""0.51775"" FPOGY=""0.63676"" FPOGS=""11.61515"" FPOGD=""0.47628"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.51404"" BPOGY=""0.61855"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.10790"" FPOGX=""0.51763"" FPOGY=""0.63617"" FPOGS=""11.61515"" FPOGD=""0.49275"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.51404"" BPOGY=""0.61855"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.12426"" FPOGX=""0.51720"" FPOGY=""0.63532"" FPOGS=""11.61515"" FPOGD=""0.50911"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.50370"" BPOGY=""0.60887"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.14061"" FPOGX=""0.51641"" FPOGY=""0.63335"" FPOGS=""11.61515"" FPOGD=""0.52547"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.49121"" BPOGY=""0.57029"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.15703"" FPOGX=""0.51567"" FPOGY=""0.63149"" FPOGS=""11.61515"" FPOGD=""0.54189"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.49121"" BPOGY=""0.57029"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.17366"" FPOGX=""0.51533"" FPOGY=""0.63087"" FPOGS=""11.61515"" FPOGD=""0.55851"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.50367"" BPOGY=""0.60980"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.19004"" FPOGX=""0.51521"" FPOGY=""0.63029"" FPOGS=""11.61515"" FPOGD=""0.57490"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.51119"" BPOGY=""0.60974"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.20644"" FPOGX=""0.51510"" FPOGY=""0.62973"" FPOGS=""11.61515"" FPOGD=""0.59130"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.51119"" BPOGY=""0.60974"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.22285"" FPOGX=""0.51460"" FPOGY=""0.62899"" FPOGS=""11.61515"" FPOGD=""0.60770"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.49616"" BPOGY=""0.60153"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.23932"" FPOGX=""0.51432"" FPOGY=""0.62865"" FPOGS=""11.61515"" FPOGD=""0.62417"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.50349"" BPOGY=""0.61596"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.25574"" FPOGX=""0.51405"" FPOGY=""0.62834"" FPOGS=""11.61515"" FPOGD=""0.64059"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.50349"" BPOGY=""0.61596"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.27208"" FPOGX=""0.51392"" FPOGY=""0.62798"" FPOGS=""11.61515"" FPOGD=""0.65694"" FPOGID=""3710"" FPOGV=""1"" BPOGX=""0.50873"" BPOGY=""0.61352"" BPOGV=""1"" />
"
s998,1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,"<REC TIME=""12.28847"" FPOGX=""0.50115"" FPOGY=""0.60500"" FPOGS=""11.61515"" FPOGD=""0.65694"" FPOGID=""3710"" FPOGV=""0"" BPOGX=""0.47577"" BPOGY=""0.61576"" BPOGV=""1"" />
"
