trial,image,time,Fixation POG X,Fixation POG Y,Fixation POG time since calibration,Fixation POG duration,Fixation POG ID,Valid POG fixation?,Best POG X,Best POG Y,Valid Best POG fixation?
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,15.07784,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,15.09424,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,15.11067,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,15.12713,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,15.14355,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,15.15989,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,15.17633,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,15.19280,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,15.20936,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,15.22607,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,15.24213,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,15.25853,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,15.27492,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
1,C:/Users/expt102/Documents/gazepoint_code/gazepoint_psychopy/28px/fig2_1d2.jpg,15.29134,0.00000,0.00000,138.84195,0.08223,12,0,0.00000,0.00000,0
